,,Psgrs Per Day,Average One Way Fare,,Percent Market Share,Average One Way Fare 2/,,Percent Market Share,Average One Way Fare 2/,
,Nonstop Distance,,,,,,,,,
City-Pair,,,,Carrier,,,Carrier,,,
Mileage Block : 100 Miles or Less,,,,,,,,,,
"CLEVELAND, OH DETROIT, MI",95,127,184,NW,75.09,182,NW,75.09,182,
Mileage Block : 101 to 150 miles,,,,,,,,,,
"CHICAGO, IL GRAND RAPIDS, MI",137,137,209,AA,48.18,226,TZ ,14.9,139,
"ASPEN, CO DENVER, CO",125,108,164,UA,99.9,164,UA,99.9,164,
"PORTLAND, OR SEATTLE, WA",129,554,132,AS,97.09,132,DL,2.22,102,
"LOS ANGELES, CA SAN DIEGO, CA",109,311,111,AA,51.21,116,UA,44.04,104,
Mileage Block : 151 to 200 miles,,,,,,,,,,
"PHILADELPHIA, PA RICHMOND, VA",198,166,283,US,98.62,283,US,98.62,283,
"ATLANTA, GA COLUMBIA, SC",191,80,267,DL,96.76,270,US,1.76,111,
"HARTFORD, CT PHILADELPHIA, PA",196,253,263,US,98.32,263,US,98.32,263,
"NEW YORK, NY SYRACUSE, NY",198,312,178,US,64.3,178,AA,14.66,150,
"NEW YORK, NY PROVIDENCE, RI",160,372,175,CO,36.73,200,AA,35.73,157,
"BALTIMORE, MD NEW YORK, NY",181,398,173,US,56.47,182,AA,14.93,128,
"BOSTON, MA NEW YORK, NY",185,6566,148,DL,42.98,129,DL,42.98,129,
"MIAMI, FL ORLANDO, FL",193,308,147,AA,57.17,147,US,15.23,131,
"ATLANTA, GA KNOXVILLE, TN",152,118,139,DL,99.82,139,DL,99.82,139,
"PASCO, WA SEATTLE, WA",172,135,109,AS,98.22,109,AS,98.22,109,
"CHICAGO, IL INDIANAPOLIS, IN",162,867,101,WN,42.99,61,WN,42.99,61,
"AUSTIN, TX DALLAS, TX",183,2147,93,WN,78.23,85,WN,78.23,85,
"CORPUS CHRISTI, TX HOUSTON, TX",187,444,85,WN,69.12,84,WN,69.12,84,
"AUSTIN, TX HOUSTON, TX",152,985,84,WN,70.8,79,WN,70.8,79,
"DALLAS, TX OKLAHOMA CITY, OK",181,639,82,WN,71.27,79,WN,71.27,79,
"HOUSTON, TX SAN ANTONIO, TX",192,944,81,WN,70.43,79,WN,70.43,79,
"RENO, NV SAN FRANCISCO, CA",192,260,80,UA,99.79,80,UA,99.79,80,
"JACKSONVILLE, FL TAMPA, FL",180,278,72,US,58.5,75,WN,41.27,66,
"LAS VEGAS, NV ONTARIO, CA",197,1154,71,WN,97.89,71,HP,1.67,62,
"FT. LAUDERDALE, FL ORLANDO, FL",178,798,71,WN,80.45,67,WN,80.45,67,
"FT. LAUDERDALE, FL TAMPA, FL",197,1244,68,WN,94.79,67,WN,94.79,67,
"OAKLAND, CA RENO, NV",180,443,66,WN,98.77,66,WN,98.77,66,
"RENO, NV SAN JOSE, CA",188,594,64,WN,92.61,63,WN,92.61,63,
Mileage Block : 201 to 250 miles,,,,,,,,,,
"PHILADELPHIA, PA PROVIDENCE, RI",238,204,279,US,96.59,281,AA,1.01,144,
"ATLANTA, GA NASHVILLE, TN",214,311,274,DL,98.77,274,DL,98.77,274,
"CINCINNATI, OH DETROIT, MI",229,225,254,DL,58.97,260,NW,39.05,246,
"PITTSBURGH, PA WASHINGTON, DC",201,319,247,US,98.26,247,US,98.26,247,
"DETROIT, MI PITTSBURGH, PA",201,219,246,US,50.22,246,US,50.22,246,
"ATLANTA, GA CHARLOTTE, NC",227,529,245,DL,71.28,248,US,27.86,233,
"NANTUCKET, MA NEW YORK, NY",203,230,218,US,57.7,225,CO,34.92,210,
"GREENSBORO, NC WASHINGTON, DC",248,104,212,US,97.81,212,US,97.81,212,
"MANCHESTER, NH NEW YORK, NY",209,338,191,CO,41.97,200,AA,11.79,166,
"CHICAGO, IL DAYTON, OH",240,246,188,UA,40.63,197,TZ ,28.21,121,
"RALEIGH/DURHAM, NC WASHINGTON, DC",227,412,148,US,55.17,146,US,55.17,146,
"DETROIT, MI INDIANAPOLIS, IN",231,517,148,NW,94.56,149,WN,3.49,96,
"DETROIT, MI MILWAUKEE, WI",238,466,144,NW,98.02,143,NW,98.02,143,
"NEW YORK, NY WASHINGTON, DC",214,5765,132,DL,39.5,120,DL,39.5,120,
"MIAMI, FL TAMPA, FL",204,328,111,AA,60.62,109,AA,60.62,109,
