A1,A2,A3,A4,A5,A6,A7
2016/17,Annual,Alabama,34.9,38,97.4,573,97.5
2015/16,Annual,Alabama,28.4,43,97.7,538,96.4
2014/15,Annual,Alabama,48,28,96.4,504,98.5
2013/14,Annual,Alabama,44.3,33,93.9,1083,38.6
2012/13,Annual,Alabama,55.1,36,94.4,777,63.7
2011/12,Annual,Alabama,27,25,96,582,99.7
2010/11,Annual,Alabama,13.9,21,90.5,459,96.1
2015/16,Annual,Alaska,0,2,100,7,100
2014/15,Annual,Alaska,0,2,100,11,100
2013/14,Annual,Alaska,0,3,100,15,100
2012/13,Annual,Alaska,0,2,100,13,100
2010/11,Annual,Alaska,0,2,50,6,100
2016/17,Annual,Arizona,65,10,80,528,24.4
2015/16,Annual,Arizona,40.5,6,100,37,100
2014/15,Annual,Arizona,58.8,9,88.9,1156,62.3
2013/14,Annual,Arizona,48.5,5,80,458,97
2012/13,Annual,Arizona,21.4,9,88.9,2289,1.1
2011/12,Annual,Arizona,26.8,7,71.4,448,47.3
2010/11,Annual,Arizona,23.3,7,71.4,2001,0.9
2016/17,Annual,Arkansas,39.7,32,90.6,3183,15.3
2015/16,Annual,Arkansas,50.5,36,91.7,2020,20.4
2014/15,Annual,Arkansas,48.3,96,93.8,3428,75.9
2013/14,Annual,Arkansas,29.4,56,92.9,10852,6
2012/13,Annual,Arkansas,28.1,37,97.3,2381,96.2
2011/12,Annual,Arkansas,37.9,21,95.2,356,74.9
2010/11,Annual,Arkansas,29.6,15,86.7,98,79.6
2016/17,Annual,California,30.5,163,63.2,383369,20.1
2015/16,Annual,California,39.7,182,63.2,485133,6.3
2014/15,Annual,California,38.2,183,63.4,423823,12.5
2013/14,Annual,California,31.7,253,65.6,450107,4.3
2012/13,Annual,California,45.8,212,64.2,625897,11.5
2011/12,Annual,California,28.4,175,83.4,163019,28.8
2010/11,Annual,California,35.7,144,79.9,130488,11.9
2016/17,Annual,Colorado,48.3,90,95.6,669,95.1
2015/16,Annual,Colorado,27.8,130,96.9,3396,19.2
2014/15,Annual,Colorado,38,178,97.8,84676,1.4
2013/14,Annual,Colorado,27.1,174,97.7,77674,1.4
2012/13,Annual,Colorado,51.3,165,97.6,1414,82.5
2011/12,Annual,Colorado,37.9,67,98.5,891,76.8
2010/11,Annual,Colorado,38.7,65,98.5,741,79.8
2016/17,Annual,Connecticut,61.8,34,100,427,100
2015/16,Annual,Connecticut,44.4,66,93.9,865,96.3
2014/15,Annual,Connecticut,57.3,56,94.6,646,65.9
2013/14,Annual,Connecticut,81.6,65,90.8,1531,18.2
2012/13,Annual,Connecticut,57.6,57,91.2,1101,68.3
2011/12,Annual,Connecticut,24.4,30,86.7,394,44
2010/11,Annual,Connecticut,43.7,43,86,666,38
2016/17,Annual,Delaware,74,38,86.8,462,84.2
2015/16,Annual,Delaware,60.2,21,76.2,25674,0.6
2014/15,Annual,Delaware,61,16,62.5,46466,0.2
2013/14,Annual,Delaware,42.9,21,76.2,21140,0.5
2012/13,Annual,Delaware,48.2,23,82.6,24893,1
2011/12,Annual,Delaware,51.3,19,89.5,470,79
2010/11,Annual,Delaware,39,8,87.5,41,79.2
2016/17,Annual,District of Columbia,38.7,20,90,106,80.9
2015/16,Annual,District of Columbia,28.4,6,66.7,127,11.9
2014/15,Annual,District of Columbia,0,3,66.7,360,7.3
2013/14,Annual,District of Columbia,85.7,6,66.7,377,14.6
2012/13,Annual,District of Columbia,73.5,10,70,509,8.7
2011/12,Annual,District of Columbia,85.3,5,100,1877,100
2010/11,Annual,District of Columbia,0,1,100,4,100
2016/17,Annual,Florida,29.2,62,82.3,95872,4.2
2015/16,Annual,Florida,56.9,58,89.7,51627,18.5
2014/15,Annual,Florida,55.3,93,86,61246,8
2013/14,Annual,Florida,36,150,80.7,83120,6.5
2012/13,Annual,Florida,42,95,79,84768,10.3
2011/12,Annual,Florida,41.8,72,88.9,49141,13.4
2010/11,Annual,Florida,57.7,57,91.2,13624,7
2016/17,Annual,Georgia,30.5,81,87.7,38443,8.2
2015/16,Annual,Georgia,41.4,65,92.3,3034,30.6
2014/15,Annual,Georgia,34.9,74,86.5,5923,27.4
2013/14,Annual,Georgia,44.5,92,87,19468,12
2012/13,Annual,Georgia,49,70,85.7,14700,9.1
2011/12,Annual,Georgia,50.4,89,92.1,12228,14.2
2010/11,Annual,Georgia,84.7,61,96.7,5923,20.8
2016/17,Annual,Hawaii,26.2,10,100,84,100
2015/16,Annual,Hawaii,38.2,45,97.8,3656,99.8
2014/15,Annual,Hawaii,13.9,28,100,12093,100
2013/14,Annual,Hawaii,24.9,67,98.5,16970,53.4
2012/13,Annual,Hawaii,7.5,41,97.6,10027,93.7
2011/12,Annual,Hawaii,20.4,18,100,13728,100
2010/11,Annual,Hawaii,7.9,31,100,5287,100
2016/17,Annual,Idaho,27.3,30,83.3,76794,1.9
2015/16,Annual,Idaho,38.2,45,62.2,141902,1.2
2014/15,Annual,Idaho,27.6,48,70.8,94547,0.2
2013/14,Annual,Idaho,27.8,34,55.9,113406,7.4
2012/13,Annual,Idaho,36.2,30,50,91535,1.8
2011/12,Annual,Idaho,24.7,22,81.8,7351,1.4
2010/11,Annual,Idaho,20.6,14,85.7,11507,0.3
2016/17,Annual,Illinois,59,94,97.9,906,99.6
2015/16,Annual,Illinois,46.2,127,96.8,1318,97.4
2014/15,Annual,Illinois,62.4,102,97.1,1317,56.9
2013/14,Annual,Illinois,63.1,125,96.8,2465,68
2012/13,Annual,Illinois,28.9,131,97,5026,18.6
2011/12,Annual,Illinois,53,50,98,1018,76.9
2010/11,Annual,Illinois,58.3,57,94.7,1019,79.7
2016/17,Annual,Indiana,41.4,99,100,952,100
2015/16,Annual,Indiana,39.5,152,98.7,1707,98.5
2014/15,Annual,Indiana,48.5,92,96.7,781,96.8
2013/14,Annual,Indiana,40.9,174,96,4712,42.3
2012/13,Annual,Indiana,27.1,108,96.3,4087,26.8
2011/12,Annual,Indiana,19.4,60,95,2259,27.3
2010/11,Annual,Indiana,33.8,65,98.5,6519,7.5
2016/17,Annual,Iowa,68.6,71,98.6,1074,99
2015/16,Annual,Iowa,58.8,48,95.8,1256,64
2014/15,Annual,Iowa,61.4,36,94.4,1206,63.1
