id,status_group
69572,functional
8776,functional
34310,functional
19728,functional
9944,functional
46144,functional
49056,functional
50409,functional
36957,functional
50495,functional
53752,functional
61848,functional
18274,functional
48375,functional
6091,functional
37862,functional
51058,functional
55012,functional
20145,functional
69124,functional
46804,functional
6696,functional
12402,functional
41583,functional
60048,functional
16583,functional
70238,functional
12796,functional
52019,functional
13620,functional
18864,functional
25182,functional
3228,functional
10745,functional
9417,functional
74197,functional
24593,functional
29952,functional
67433,functional
34255,functional
53970,functional
63542,functional
15622,functional
52561,functional
19415,functional
3675,functional
34383,functional
3688,functional
70892,functional
26419,functional
29083,functional
17970,functional
25693,functional
57580,functional
23000,functional
59902,functional
7116,functional
59983,functional
10784,functional
49503,functional
21068,functional
10837,functional
64447,functional
2915,functional
14016,functional
73061,functional
42031,functional
62002,functional
6106,functional
25915,functional
20673,functional
59475,functional
24012,functional
44002,functional
37471,functional
60852,functional
17687,functional
28669,functional
66521,functional
24232,functional
65788,functional
72981,functional
64880,functional
45564,functional
50173,functional
66843,functional
13815,functional
71845,functional
42180,functional
63632,functional
55594,functional
11787,functional
72678,functional
50970,functional
37840,functional
10715,functional
12120,functional
41635,functional
14884,functional
33037,functional
47459,functional
68908,functional
62670,functional
2136,functional
33320,functional
45604,functional
52318,functional
36684,functional
41034,functional
4807,functional
41845,functional
6065,functional
30377,functional
8060,functional
59630,functional
26701,functional
46897,functional
52520,functional
31132,functional
37562,functional
30257,functional
48695,functional
46814,functional
7721,functional
63695,functional
7171,functional
58838,functional
61046,functional
51694,functional
1780,functional
39490,functional
21704,functional
24948,functional
6076,functional
34877,functional
4321,functional
52448,functional
14326,functional
36933,functional
65093,functional
49732,functional
20200,functional
43777,functional
52601,functional
73024,functional
9474,functional
44434,functional
36366,functional
71487,functional
36093,functional
2591,functional
24049,functional
70835,functional
74176,functional
68037,functional
62565,functional
70379,functional
10089,functional
43345,functional
59713,functional
61979,functional
8055,functional
33963,functional
7900,functional
337,functional
17861,functional
2845,functional
17111,functional
21338,functional
49326,functional
15358,functional
29513,functional
51163,functional
40920,functional
65101,functional
67822,functional
14135,functional
32089,functional
43433,functional
62188,functional
19,functional
26577,functional
9382,functional
17978,functional
25534,functional
13969,functional
25143,functional
25736,functional
17516,functional
66980,functional
45444,functional
59310,functional
59102,functional
61883,functional
93,functional
44092,functional
53847,functional
67634,functional
37524,functional
16341,functional
39176,functional
24836,functional
74217,functional
7007,functional
4101,functional
38725,functional
49453,functional
63018,functional
23835,functional
39915,functional
9736,functional
20132,functional
5963,functional
3740,functional
43742,functional
57478,functional
4062,functional
34741,functional
67097,functional
4437,functional
65817,functional
54412,functional
29639,functional
65584,functional
6788,functional
51220,functional
58599,functional
29753,functional
779,functional
68126,functional
24794,functional
29771,functional
29052,functional
4923,functional
27079,functional
60111,functional
67155,functional
54733,functional
54678,functional
1439,functional
16313,functional
6735,functional
1220,functional
57970,functional
44204,functional
63675,functional
66382,functional
59053,functional
52677,functional
1738,functional
19548,functional
27523,functional
815,functional
11184,functional
22000,functional
25913,functional
11905,functional
31264,functional
16537,functional
33104,functional
42476,functional
8699,functional
1203,functional
61994,functional
67453,functional
18266,functional
59263,functional
6387,functional
17571,functional
53558,functional
66967,functional
72238,functional
12207,functional
68495,functional
19283,functional
3522,functional
26851,functional
41968,functional
38379,functional
54983,functional
68333,functional
5947,functional
42347,functional
64048,functional
45876,functional
24691,functional
67950,functional
65266,functional
21737,functional
63864,functional
30174,functional
70930,functional
63746,functional
24331,functional
41174,functional
31332,functional
11011,functional
12245,functional
60626,functional
69018,functional
49196,functional
26839,functional
70584,functional
6758,functional
51133,functional
48080,functional
12552,functional
52707,functional
29658,functional
8757,functional
54113,functional
59405,functional
62511,functional
23315,functional
40509,functional
71634,functional
32245,functional
3777,functional
38775,functional
66760,functional
61574,functional
57395,functional
67199,functional
22385,functional
4636,functional
35726,functional
6939,functional
31692,functional
47016,functional
27776,functional
17242,functional
60433,functional
11811,functional
32336,functional
71856,functional
11087,functional
14701,functional
21064,functional
36711,functional
47102,functional
13734,functional
38763,functional
38220,functional
6519,functional
72474,functional
27561,functional
6757,functional
54596,functional
67545,functional
28846,functional
13685,functional
55543,functional
63908,functional
57452,functional
42339,functional
42491,functional
28741,functional
64144,functional
15188,functional
25220,functional
69979,functional
25199,functional
70644,functional
53106,functional
22679,functional
32012,functional
19409,functional
36702,functional
57293,functional
46231,functional
10342,functional
54599,functional
24052,functional
4554,functional
1856,functional
3843,functional
71891,functional
63423,functional
38537,functional
880,functional
69883,functional
8709,functional
8316,functional
32164,functional
71837,functional
64333,functional
39105,functional
42943,functional
68179,functional
19672,functional
42431,functional
61759,functional
64031,functional
18488,functional
59448,functional
56471,functional
17287,functional
8080,functional
27799,functional
35558,functional
61039,functional
71895,functional
968,functional
5562,functional
43732,functional
25947,functional
50383,functional
49431,functional
58286,functional
66643,functional
12756,functional
15545,functional
47221,functional
2414,functional
71236,functional
14985,functional
41560,functional
26204,functional
59179,functional
1981,functional
72237,functional
51820,functional
23732,functional
57085,functional
56708,functional
3091,functional
13201,functional
11388,functional
27790,functional
37114,functional
70237,functional
61558,functional
38293,functional
68641,functional
40102,functional
13739,functional
60171,functional
18825,functional
60688,functional
9401,functional
17569,functional
14438,functional
37241,functional
37507,functional
34664,functional
16672,functional
4778,functional
55567,functional
27571,functional
50898,functional
53006,functional
56631,functional
46988,functional
4672,functional
65995,functional
8988,functional
12598,functional
28032,functional
14727,functional
44120,functional
6424,functional
146,functional
56277,functional
60410,functional
61169,functional
61060,functional
33006,functional
6988,functional
19362,functional
60535,functional
54055,functional
6171,functional
68894,functional
36606,functional
72553,functional
21896,functional
25354,functional
24752,functional
7691,functional
19080,functional
36513,functional
41986,functional
28016,functional
55033,functional
18928,functional
44976,functional
7296,functional
15643,functional
1817,functional
2547,functional
25000,functional
30320,functional
69136,functional
28993,functional
25367,functional
18169,functional
18729,functional
52686,functional
50841,functional
21315,functional
32543,functional
5009,functional
69168,functional
26962,functional
43964,functional
5071,functional
44480,functional
55560,functional
5563,functional
58526,functional
9069,functional
5455,functional
17088,functional
61476,functional
46507,functional
38201,functional
15306,functional
16923,functional
22283,functional
54056,functional
3968,functional
20020,functional
38474,functional
36914,functional
21383,functional
11961,functional
59071,functional
458,functional
1678,functional
32502,functional
41826,functional
60873,functional
61750,functional
47384,functional
5769,functional
41064,functional
2296,functional
30758,functional
11249,functional
55516,functional
68770,functional
73545,functional
21946,functional
20011,functional
72386,functional
6948,functional
61190,functional
5277,functional
34375,functional
34298,functional
11352,functional
19595,functional
2523,functional
51714,functional
47206,functional
30036,functional
24034,functional
70461,functional
20637,functional
15529,functional
5968,functional
55164,functional
23296,functional
59327,functional
34823,functional
14675,functional
36360,functional
59257,functional
68473,functional
39088,functional
15044,functional
25635,functional
72352,functional
2427,functional
15178,functional
32145,functional
6905,functional
47744,functional
